numero_sequencial;descricao_cargo;nome_urna;descricao_cor_raca;descricao_estado_civil;descricao_genero;descricao_grau_instrucao;sigla_uf_nascimento;nome_partido;sigla_partido;patrimonio;total_votos_brasil
190000625154;DEPUTADO FEDERAL;DANIEL MARQUES;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO VERDE;PV;750000;8559
190000625183;DEPUTADO FEDERAL;DR. EDUARDO MOLINA;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;RJ;DEMOCRACIA CRISTA;DC;0;1617
190000603753;DEPUTADO ESTADUAL;PROFESSOR LUCIANO DUTRA;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DA REPUBLICA;PR;0;1014
190000623240;DEPUTADO ESTADUAL;ROSELI BRITO;BRANCA;CASADO(A);FEMININO;ENSINO MEDIO COMPLETO;RJ;REDE SUSTENTABILIDADE;REDE;0;175
190000622783;DEPUTADO FEDERAL;WASHINGTON SILVA;PARDA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO PATRIA LIVRE;PPL;0;460
190000614882;DEPUTADO ESTADUAL;CANDINHO DO FRANGO;BRANCA;DIVORCIADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO DA MULHER BRASILEIRA;PMB;465788,98;8731
190000622932;DEPUTADO ESTADUAL;LUIZ NOVAES;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIALISTA BRASILEIRO;PSB;2043620,96;4003
190000626255;DEPUTADO FEDERAL;PATRICIA VALERIA;PARDA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;0;91
190000602116;DEPUTADO FEDERAL;PEDRO CORREA;BRANCA;SOLTEIRO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO SOCIALISMO E LIBERDADE;PSOL;200;293
190000607474;DEPUTADO FEDERAL;LAYDSON;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;MOVIMENTO DEMOCRATICO BRASILEIRO;MDB;45000;9165
190000606039;DEPUTADO FEDERAL;DENISE PROENCA;PRETA;CASADO(A);FEMININO;SUPERIOR COMPLETO;RJ;PARTIDO HUMANISTA DA SOLIDARIEDADE;PHS;0;1324
190000628295;DEPUTADO ESTADUAL;EDNALDO SILVA;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;PB;PARTIDO DA REPUBLICA;PR;16000;954
190000615524;DEPUTADO FEDERAL;ABELARDINHO;BRANCA;CASADO(A);MASCULINO;SUPERIOR COMPLETO;RJ;PARTIDO DEMOCRATICO TRABALHISTA;PDT;152298,16;9450
190000604155;DEPUTADO FEDERAL;EDSON PEDRO;BRANCA;CASADO(A);MASCULINO;ENSINO MEDIO COMPLETO;MG;PODEMOS;PODE;20000;983
190000601079;DEPUTADO ESTADUAL;LEO T@I;PARDA;SOLTEIRO(A);MASCULINO;ENSINO MEDIO COMPLETO;RJ;PARTIDO SOCIAL DEMOCRATICO;PSD;172000;1889
